EVENT_PK_SEQ,NET_PK_SEQ,CRUISE_NAME,STATION,EVENT_NUMBER,NET_NUMBER,GEAR,GEAR_VOLUME_FILTERED,SAMPLE_JAR_COUNT,SAMPLE_TYPE,SAMPLE_SPLIT_FACTOR,FLOWMETER_NUMBER,FLOWMETER_CALIBRATION_DATE,FLOWMETER_CALIBRATION_FACTOR,FLOWMETER_REVOLUTIONS,PRESERVATIVE,FLAG_SEASON,FLAG_FLOWMETER_DIFF,FLAG_DEPTH,FLAG_REGION,FLAG_CLOGGING,FLAG_ZOO_ANALYZED,FLAG_EGGS_ANALYZED,FLAG_ICHTHYO_ANALYZED,FLAG_SAMPLE_INTACT,NET_COMMENT,DOE,DOC,UOE,UOC,BIO_VOLUME_ZOO_QUICK,ICH_HAUL_FCTR,ICH_HAUL_FCTR_LOCK,NET_DEPTH_MAX,NET_DEPTH_MIN,NET_DEPTH_MEAN,NET_DEPTH_START,NET_DEPTH_END,EGG_HAUL_FCTR,EGG_HAUL_FCTR_LOCK,ICH_QUARTER_PROC_FLAG
70153,72692,GU1608,0005,5,1,6B3I,81.428,1,I,,26415,01-JAN-15,0.26873,1037,F5,1,1,,1,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,2.58,,,,,,,,,
70153,72693,GU1608,0005,5,2,6B3Z,72.861,1,Z,,26417,01-JAN-14,0.2687,928,F5,1,1,,1,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70153,72694,GU1608,0005,5,7,2B3,,,,,,,,,,1,,,1,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70154,72695,GU1608,0006,6,1,6B3I,94.777,1,I,,26415,01-JAN-15,0.26873,1207,F5,1,,,1,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,3.9,,,,,,,,,
70154,72696,GU1608,0006,6,2,6B3Z,93.039,1,Z,,26417,01-JAN-14,0.2687,1185,F5,1,,,1,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70154,72697,GU1608,0006,6,7,2B3,,,,,,,,,,1,,,1,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70155,72698,GU1608,0007,7,1,6B3I,87.396,1,I,,26415,01-JAN-15,0.26873,1113,F5,1,,,1,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,3.66,,,,,,,,,
70155,72699,GU1608,0007,7,2,6B3Z,84.246,1,Z,,26417,01-JAN-14,0.2687,1073,F5,1,,,1,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70155,72700,GU1608,0007,7,6,2B1,,,,,,,,,,1,,,1,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70156,72701,GU1608,0008,8,1,6B3I,118.962,1,I,,26415,01-JAN-15,0.26873,1515,F5,1,,,1,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,3.78,,,,,,,,,
70156,72702,GU1608,0008,8,2,6B3Z,118.164,1,Z,,26417,01-JAN-14,0.2687,1505,F5,1,,,1,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70157,72703,GU1608,0009,9,1,6B3I,100.195,1,I,,26415,01-JAN-15,0.26873,1276,F5,1,,,1,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,4.39,,,,,,,,,
70157,72704,GU1608,0009,9,2,6B3Z,97.986,1,Z,,26417,01-JAN-14,0.2687,1248,F5,1,,,1,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70157,72705,GU1608,0009,9,7,2B3,,,,,,,,,,1,,,1,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70158,72706,GU1608,0010,10,1,6B3I,114.565,1,I,,26415,01-JAN-15,0.26873,1459,F5,1,,,1,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,2.88,,,,,,,,,
70158,72707,GU1608,0010,10,2,6B3Z,119.97,1,Z,,26417,01-JAN-14,0.2687,1528,F5,1,,,1,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70158,72708,GU1608,0010,10,7,2B3,,,,,,,,,,1,,,1,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70159,72709,GU1608,0011,11,1,6B3I,80.486,1,I,,26415,01-JAN-15,0.26873,1025,F5,1,,,1,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,3.23,,,,,,,,,
70159,72710,GU1608,0011,11,2,6B3Z,81.733,1,Z,,26417,01-JAN-14,0.2687,1041,F5,1,,,1,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70159,72711,GU1608,0011,11,7,2B3,,,,,,,,,,1,,,1,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70160,72712,GU1608,0012,12,1,6B3I,107.105,1,I,,26415,01-JAN-15,0.26873,1364,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,3.17,,,,,,,,,
70160,72713,GU1608,0012,12,2,6B3Z,105.209,1,Z,,26417,01-JAN-14,0.2687,1340,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70160,72714,GU1608,0012,12,6,2B1,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70161,72715,GU1608,0013,13,1,6B3I,110.246,1,I,,26415,01-JAN-15,0.26873,1404,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,3.17,,,,,,,,,
70161,72716,GU1608,0013,13,2,6B3Z,110.626,1,Z,,26417,01-JAN-14,0.2687,1409,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70161,72717,GU1608,0013,13,6,2B1,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70162,72718,GU1608,0015,15,1,6B3I,101.609,1,I,,26415,01-JAN-15,0.26873,1294,F5,,,,,L,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,5.71,,,,,,,,,
70162,72719,GU1608,0015,15,2,6B3Z,101.44,1,Z,,26417,01-JAN-14,0.2687,1292,F5,,,,,L,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70162,72720,GU1608,0015,15,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70163,72721,GU1608,0016,16,1,6B3I,142.99,1,I,,26415,01-JAN-15,0.26873,1821,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,5.52,,,,,,,,,
70163,72722,GU1608,0016,16,2,6B3Z,146.193,1,Z,,26417,01-JAN-14,0.2687,1862,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70163,72723,GU1608,0016,16,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70164,72724,GU1608,0019,19,1,6B3I,375.182,1,I,,26415,01-JAN-15,0.26873,4778,E95,,,,,N,,S,I,Y,,22-JUL-16,02-AUG-17,PLANKTON,PLANKTON,,5.38,,,,,,,,,
70164,72725,GU1608,0019,19,2,6B3Z,371.215,1,M,,26417,01-JAN-14,0.2687,4728,E95,,,,,N,I,,,Y,,22-JUL-16,14-DEC-17,PLANKTON,PLANKTON,,5.44,,,,,,,,,
70164,72726,GU1608,0019,19,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70165,72727,GU1608,0020,20,1,6B3I,387.432,1,I,,26415,01-JAN-15,0.26873,4934,E95,,,,,N,,S,I,Y,,22-JUL-16,02-AUG-17,PLANKTON,PLANKTON,,5.19,,,,,,,,,
70165,72728,GU1608,0020,20,2,6B3Z,399.166,1,M,,26417,01-JAN-14,0.2687,5084,E95,,,,,N,I,,,Y,,22-JUL-16,14-DEC-17,PLANKTON,PLANKTON,,5.04,,,,,,,,,
70165,72729,GU1608,0020,20,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70166,72730,GU1608,0021,21,1,6B3I,178.954,1,I,,26415,01-JAN-15,0.26873,2279,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,4.75,,,,,,,,,
70166,72731,GU1608,0021,21,2,6B3Z,178.855,1,Z,,26417,01-JAN-14,0.2687,2278,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70166,72732,GU1608,0021,21,6,2B1,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70167,72733,GU1608,0022,22,1,6B3I,263.366,1,I,,26415,01-JAN-15,0.26873,3354,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,4.63,,,,,,,,,
70167,72734,GU1608,0022,22,2,6B3Z,262.787,1,Z,,26417,01-JAN-14,0.2687,3347,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70167,72735,GU1608,0022,22,6,2B1,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70168,72736,GU1608,0023,23,1,6B3I,97.368,1,I,,26415,01-JAN-15,0.26873,1240,F5,,1,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,4.31,,,,,,,,,
70168,72737,GU1608,0023,23,2,6B3Z,87.857,1,Z,,26417,01-JAN-14,0.2687,1119,F5,,1,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70168,72738,GU1608,0023,23,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70169,72739,GU1608,0024,24,1,6B3I,131.526,1,I,,26415,01-JAN-15,0.26873,1675,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,4.79,,,,,,,,,
70169,72740,GU1608,0024,24,2,6B3Z,130.648,1,Z,,26417,01-JAN-14,0.2687,1664,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70169,72741,GU1608,0024,24,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70170,72742,GU1608,0025,25,1,6B3I,129.955,1,I,,26415,01-JAN-15,0.26873,1655,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,5.85,,,,,,,,,
70170,72743,GU1608,0025,25,2,6B3Z,127.114,1,Z,,26417,01-JAN-14,0.2687,1619,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70170,72744,GU1608,0025,25,6,2B1,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70171,72745,GU1608,0027,27,1,6B3I,346.757,1,I,,26415,01-JAN-15,0.26873,4416,E95,,,,,N,,S,I,Y,,22-JUL-16,02-AUG-17,PLANKTON,PLANKTON,,5.83,,,,,,,,,
70171,72746,GU1608,0027,27,2,6B3Z,339.809,1,M,,26417,01-JAN-14,0.2687,4328,E95,,,,,N,I,,,Y,,22-JUL-16,14-DEC-17,PLANKTON,PLANKTON,,5.94,,,,,,,,,
70171,72747,GU1608,0027,27,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70172,72748,GU1608,0028,28,1,6B3I,237.453,1,I,,26415,01-JAN-15,0.26873,3024,E95,,,,,N,,S,I,Y,,22-JUL-16,02-AUG-17,PLANKTON,PLANKTON,,3.83,,,,,,,,,
70172,72749,GU1608,0028,28,2,6B3Z,238.604,1,M,,26417,01-JAN-14,0.2687,3039,E95,,,,,N,I,,,Y,,22-JUL-16,14-DEC-17,PLANKTON,PLANKTON,,3.81,,,,,,,,,
70172,72750,GU1608,0028,28,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70173,72751,GU1608,0029,29,1,6B3I,117.235,1,I,,26415,01-JAN-15,0.26873,1493,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,3.92,,,,,,,,,
70173,72752,GU1608,0029,29,2,6B3Z,117.457,1,Z,,26417,01-JAN-14,0.2687,1496,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70173,72753,GU1608,0029,29,6,2B1,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70174,72754,GU1608,0030,30,1,6B3I,264.308,1,I,,26415,01-JAN-15,0.26873,3366,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,3.03,,,,,,,,,
70174,72755,GU1608,0030,30,2,6B3Z,260.431,1,Z,,26417,01-JAN-14,0.2687,3317,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70174,72756,GU1608,0030,30,6,2B1,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70175,72757,GU1608,0032,32,1,6B3I,373.376,1,I,,26415,01-JAN-15,0.26873,4755,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,5.38,,,,,,,,,
70175,72758,GU1608,0032,32,2,6B3Z,367.996,1,Z,,26417,01-JAN-14,0.2687,4687,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70175,72759,GU1608,0032,32,6,2B1,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70176,72760,GU1608,0034,34,1,6B3I,86.375,1,I,,26415,01-JAN-15,0.26873,1100,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,2.55,,,,,,,,,
70176,72761,GU1608,0034,34,2,6B3Z,79.299,1,Z,,26417,01-JAN-14,0.2687,1010,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70176,72762,GU1608,0034,34,6,2B1,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70177,72763,GU1608,0035,35,1,6B3I,136.63,1,I,,26415,01-JAN-15,0.26873,1740,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,1.39,,,,,,,,,
70177,72764,GU1608,0035,35,2,6B3Z,130.019,1,Z,,26417,01-JAN-14,0.2687,1656,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70177,72765,GU1608,0035,35,6,2B1,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70178,72766,GU1608,0038,38,1,6B3I,112.523,1,I,,26415,01-JAN-15,0.26873,1433,F5,,1,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,2.49,,,,,,,,,
70178,72767,GU1608,0038,38,2,6B3Z,88.014,1,Z,,26417,01-JAN-14,0.2687,1121,F5,,1,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70178,72768,GU1608,0038,38,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70179,72769,GU1608,0039,39,1,6B3I,108.519,1,I,,26415,01-JAN-15,0.26873,1382,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,2.76,,,,,,,,,
70179,72770,GU1608,0039,39,2,6B3Z,106.779,1,Z,,26417,01-JAN-14,0.2687,1360,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70179,72771,GU1608,0039,39,6,2B1,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70180,72772,GU1608,0040,40,1,6B3I,125.48,1,I,,26415,01-JAN-15,0.26873,1598,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,0.72,,,,,,,,,
70180,72773,GU1608,0040,40,2,6B3Z,115.965,1,Z,,26417,01-JAN-14,0.2687,1477,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70180,72774,GU1608,0040,40,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70181,72775,GU1608,0041,41,1,6B3I,108.519,1,I,,26415,01-JAN-15,0.26873,1382,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,1.57,,,,,,,,,
70181,72776,GU1608,0041,41,2,6B3Z,106.308,1,Z,,26417,01-JAN-14,0.2687,1354,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70181,72777,GU1608,0041,41,6,2B1,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70182,72778,GU1608,0042,42,1,6B3I,100.195,1,I,,26415,01-JAN-15,0.26873,1276,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,3.19,,,,,,,,,
70182,72779,GU1608,0042,42,2,6B3Z,99.477,1,Z,,26417,01-JAN-14,0.2687,1267,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70182,72780,GU1608,0042,42,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70183,72781,GU1608,0043,43,1,6B3I,91.008,1,I,,26415,01-JAN-15,0.26873,1159,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,3.96,,,,,,,,,
70183,72782,GU1608,0043,43,2,6B3Z,89.585,1,Z,,26417,01-JAN-14,0.2687,1141,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70183,72783,GU1608,0043,43,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70184,72784,GU1608,0044,44,1,6B3I,95.248,1,I,,26415,01-JAN-15,0.26873,1213,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,4.41,,,,,,,,,
70184,72785,GU1608,0044,44,2,6B3Z,94.217,1,Z,,26417,01-JAN-14,0.2687,1200,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70184,72786,GU1608,0044,44,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70185,72787,GU1608,0045,45,1,6B3I,104.2,1,I,,26415,01-JAN-15,0.26873,1327,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,4.51,,,,,,,,,
70185,72788,GU1608,0045,45,2,6B3Z,102.539,1,Z,,26417,01-JAN-14,0.2687,1306,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70185,72789,GU1608,0045,45,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70186,72790,GU1608,0048,48,1,6B3I,159.559,1,I,,26415,01-JAN-15,0.26873,2032,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,0.94,,,,,,,,,
70186,72791,GU1608,0048,48,2,6B3Z,157.028,1,Z,,26417,01-JAN-14,0.2687,2000,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70186,72792,GU1608,0048,48,6,2B1,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70187,72793,GU1608,0049,49,1,6B3I,114.486,1,I,,26415,01-JAN-15,0.26873,1458,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,2.8,,,,,,,,,
70187,72794,GU1608,0049,49,2,6B3Z,113.217,1,Z,,26417,01-JAN-14,0.2687,1442,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70187,72795,GU1608,0049,49,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70188,72796,GU1608,0050,50,1,6B3I,110.089,1,I,,26415,01-JAN-15,0.26873,1402,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,1.82,,,,,,,,,
70188,72797,GU1608,0050,50,2,6B3Z,108.507,1,Z,,26417,01-JAN-14,0.2687,1382,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70188,72798,GU1608,0050,50,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70189,72799,GU1608,0051,51,1,6B3I,85.983,1,I,,26415,01-JAN-15,0.26873,1095,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,1.28,,,,,,,,,
70189,72800,GU1608,0051,51,2,6B3Z,84.481,1,Z,,26417,01-JAN-14,0.2687,1076,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70189,72801,GU1608,0051,51,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70190,72802,GU1608,0052,52,1,6B3I,150.843,1,I,,26415,01-JAN-15,0.26873,1921,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,2.92,,,,,,,,,
70190,72803,GU1608,0052,52,2,6B3Z,149.334,1,Z,,26417,01-JAN-14,0.2687,1902,F5,,,,,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70190,72804,GU1608,0052,52,7,2B3,,,,,,,,,,,,,,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70191,72805,GU1608,0053,53,1,6B3I,115.35,1,I,,26415,01-JAN-15,0.26873,1469,F5,,,,,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,3.38,,,,,,,,,
