vers,opsid,cruiseid,pc,eventnum,cast,ctdsignal,protocol,deployment,event time,lat,lon,sta depth,ctdoperator,ctdfile,ctd_samprt_navg,ctd upload time,inWater,max ctd depth,btm t,btm s,sfc depth,sfc t,sfc s,ctd depth flag,outofWater,total time,mwo,salt case,salt btl,netid_1,flm_1,flmcal_1,gm_1,start_1,end_1,tot_1,Jars_1,Clog_1,pres_1,netid_2,flm_2,flmcal_2,gm_2,start_2,end_2,tot_2,Jars_2,Clog_2,pres_2,flmpassfail,flmchange,bb_bongo,bbgm,subsample,scsmatchfile,matchyesno,siteid,salt sample depth,MaxWinch1,MaxWinch2
R2.3,2016003HB,HB1603,93,215,215,R,,CTD/IKMT Oblique,8/19/16 9:53,4005.7,6828.7,1125,,sbe215.hex,4/1/77,,8/19/16 9:43,23.8,18.11,34.28,1.6,24.12,33.8,F,8/19/16 9:49,0:05:34,,,,I,,,SI9,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,160,,,
R2.3,2016003HB,HB1603,93,215,215,R,,CTD/IKMT Oblique,8/19/16 9:53,4005.7,6828.7,1125,,sbe215.hex,4/1/77,,8/19/16 9:43,23.8,18.11,34.28,1.6,24.12,33.8,F,8/19/16 9:49,0:05:34,,,,I,,,SI9,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,160,,,
R2.3,2016003HB,HB1603,93,24,24,R,OT,CTD/IKMT Oblique,7/1/16 4:20,3733.8,7150.7,3284,GS,sbe024.hex,4/1/77,7/1/16 4:19,7/1/16 4:20,26.2,26.83,36.32,1.5,24.56,33.86,F,7/1/16 4:35,0:14:33,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,17,,,
R2.3,2016003HB,HB1603,93,38,38,R,OT,CTD/IKMT Oblique,7/3/16 4:25,3823.9,7239,2770,GS,sbe038.hex,4/1/77,7/3/16 4:25,7/3/16 4:25,26.8,15.26,34.75,1.6,22.1,33.9,F,7/3/16 4:31,0:06:12,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,26,,,
R2.3,2016003HB,HB1603,93,44,44,R,OT,CTD/IKMT Oblique,7/4/16 0:39,3912.7,7140.6,2375,GS,sbe044.hex,4/1/77,7/4/16 0:39,7/4/16 0:39,27.6,17.52,35.38,1.6,21.18,33.91,F,7/4/16 0:46,0:06:23,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,30,,,
R2.3,2016003HB,HB1603,93,11,11,R,OT,CTD/IKMT Oblique,6/30/16 1:02,3856.8,7131.4,2600,EB,sbe011.hex,4/1/77,6/30/16 1:01,6/30/16 1:03,22.6,17.65,35.09,1.5,20.28,34.13,F,6/30/16 1:10,0:07:49,,,,OT,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,10,,,
R2.3,2016003HB,HB1603,93,219,219,R,OT,CTD/IKMT Oblique,8/20/16 9:03,3940,6634.1,4107.2,MB,sbe219.hex,4/1/77,8/20/16 9:02,8/20/16 9:02,25,21.35,34.59,1.5,25.09,34.28,F,8/20/16 9:17,0:14:07,,,,I,,,SI9,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,164,,,
R2.3,2016003HB,HB1603,93,225,225,R,OT,CTD/IKMT Oblique,8/21/16 9:03,4014.1,6541.6,3979.6,MB,sbe225.hex,4/1/77,8/21/16 9:02,8/21/16 9:02,25.3,21.1,35.53,1.5,23.83,34.42,F,8/21/16 9:10,0:07:58,,,,I,,,SI9,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,166,,,
R2.3,2016003HB,HB1603,93,155,155,R,OT,CTD/IKMT Oblique,7/30/16 23:32,3856.6,6910.2,3264,EB,sbe155.hex,4/1/77,7/30/16 23:32,7/30/16 23:32,21.9,19.26,35.13,1.5,24.75,34.45,F,7/30/16 23:42,0:09:39,,,,I,,,2N3,,,,2,N,F5,,,,,,,,,,,,,,,,,YES,117,,,
R2.3,2016003HB,HB1603,93,170,170,R,OT,CTD/IKMT Oblique,8/2/16 23:23,3957.3,6848.8,1652,GS,sbe170.hex,4/1/77,8/2/16 23:23,8/2/16 23:23,23.5,21.12,35.29,1.5,24.48,34.68,F,8/2/16 23:30,0:07:19,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,130,,,
R2.3,2016003HB,HB1603,93,56,56,R,OT,CTD/IKMT Oblique,7/5/16 4:17,3828.8,7009.2,3338,GS,sbe056.hex,4/1/77,7/5/16 4:17,7/5/16 4:17,28.2,25.54,36.3,1.5,24.94,34.8,F,7/5/16 4:24,0:06:46,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,38,,,
R2.3,2016003HB,HB1603,93,25,25,R,OT,CTD/IKMT Oblique,7/1/16 5:38,3741.3,7151.9,3194,EB,sbe025.hex,4/1/77,7/1/16 5:38,7/1/16 5:38,21.2,19.29,34.77,1.6,22.28,34.82,F,7/1/16 5:45,0:06:34,,,,I,,,2N3,,,,2,N,F5,,,,,,,,,,,,,,,,,YES,18,,,
R2.3,2016003HB,HB1603,93,201,201,R,OT,CTD/IKMT Oblique,8/15/16 9:45,4043.5,6618.9,2543.1,MB,sbe201.hex,4/1/77,8/15/16 9:45,8/15/16 9:45,26.7,21.45,35.5,1.5,24.61,34.84,F,8/15/16 9:56,0:11:21,,,,I,,,SI9,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,152,,,
R2.3,2016003HB,HB1603,93,10,10,R,OT,CTD/IKMT Oblique,6/29/16 23:43,3857.2,7143.5,2495,GS,sbe010.hex,4/1/77,6/29/16 23:42,6/29/16 23:42,28.3,17.45,35.08,1.6,21.04,34.91,F,6/29/16 23:48,0:06:03,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,9,,,
R2.3,2016003HB,HB1603,93,188,188,R,OT,CTD/IKMT Oblique,8/12/16 9:40,4104.1,6608.9,1300,MB,sbe188.hex,4/1/77,8/12/16 9:40,8/12/16 9:41,24.6,20.95,35.58,1.6,24.04,35.03,F,8/12/16 9:52,0:10:50,,,,I,,,SI9,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,140,,,
R2.3,2016003HB,HB1603,93,230,230,R,OT,CTD/IKMT Oblique,8/22/16 9:23,4043.6,6634.3,1677.4,MB,sbe230.hex,4/1/77,8/22/16 9:23,8/22/16 9:24,26.6,22.48,34.85,1.5,24.86,35.07,F,8/22/16 9:34,0:10:06,,,,I,,,SI9,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,170,,,
R2.3,2016003HB,HB1603,93,198,198,R,OT,CTD/IKMT Oblique,8/14/16 16:18,4140.7,6507.9,2437.1,MB,sbe198.hex,4/1/77,8/14/16 16:18,8/14/16 16:19,25.2,25.67,35.11,1.5,25.95,35.21,F,8/14/16 16:27,0:08:16,,,,I,,,SI9,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,148,,,
R2.3,2016003HB,HB1603,93,39,39,R,OT,CTD/IKMT Oblique,7/3/16 5:29,3819.7,7231.6,2925,EB,sbe039.hex,4/1/77,7/3/16 5:28,7/3/16 5:29,21.9,19.48,35.3,1.5,24.05,35.26,F,7/3/16 5:36,0:06:16,,,,I,,,2N3,,,,2,N,F5,,,,,,,,,,,,,,,,,YES,27,,,
R2.3,2016003HB,HB1603,93,160,160,R,OT,CTD/IKMT Oblique,7/31/16 23:10,3935.1,7059.9,2423,EB,sbe160.hex,4/1/77,7/31/16 23:10,7/31/16 23:10,23.7,22.14,35.34,1.5,25.98,35.32,F,7/31/16 23:17,0:06:37,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,121,,,
R2.3,2016003HB,HB1603,93,73,73,R,OT,CTD/IKMT Oblique,7/8/16 0:10,3902.6,6755,3724,EB,sbe073.hex,4/1/77,7/8/16 0:10,7/8/16 0:10,21.1,24.68,35.6,1.6,25.56,35.33,F,7/8/16 0:20,0:10:12,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,50,,,
R2.3,2016003HB,HB1603,93,77,77,R,OT,CTD/IKMT Oblique,7/8/16 2:56,3846.1,6759.2,4059,GS,sbe077.hex,4/1/77,7/8/16 2:56,7/8/16 2:56,26.8,24.17,36.08,1.6,25.62,35.35,F,7/8/16 3:03,0:06:21,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,52,,,
R2.3,2016003HB,HB1603,93,79,79,R,OT,CTD/IKMT Oblique,7/8/16 4:25,3838.4,6800.1,4179,GS,sbe079.hex,4/1/77,7/8/16 4:25,7/8/16 4:25,26.8,25.22,35.99,1.6,25.81,35.48,F,7/8/16 4:32,0:06:52,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,53,,,
R2.3,2016003HB,HB1603,93,74,74,R,OT,CTD/IKMT Oblique,7/8/16 1:14,3854.7,6756.5,3793,EB,sbe074.hex,4/1/77,7/8/16 1:13,7/8/16 1:14,22.9,22.72,36.11,1.5,25.56,35.51,F,7/8/16 1:20,0:06:32,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,51,,,
R2.3,2016003HB,HB1603,93,54,54,R,OT,CTD/IKMT Oblique,7/5/16 2:29,3826.1,7003.5,3434,GS,sbe054.hex,4/1/77,7/5/16 2:29,7/5/16 2:29,26.7,26.98,36.36,1.6,27.61,36.1,F,7/5/16 2:36,0:07:26,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,37,,,
R2.3,2016003HB,HB1603,93,123,123,R,OT,CTD/IKMT Oblique,7/22/16 23:33,3923.6,6537,4424,EB,sbe123.hex,4/1/77,7/22/16 23:33,7/22/16 23:33,26.1,23.08,36.5,1.5,27.44,36.11,F,7/22/16 23:40,0:07:11,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,90,,,
R2.3,2016003HB,HB1603,93,20,20,R,OT,CTD/IKMT Oblique,7/1/16 0:50,3724.8,7149.3,3419,GS,sbe020.hex,4/1/77,7/1/16 0:50,7/1/16 0:50,27.5,28.38,36.4,1.5,28.36,36.13,F,7/1/16 0:57,0:06:42,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,15,,,
R2.3,2016003HB,HB1603,93,30,30,R,OT,CTD/IKMT Oblique,7/2/16 0:00,3719.6,7252.3,3048.8,GS,sbe030.hex,4/1/77,7/1/16 23:57,7/1/16 23:57,24.6,27.95,36.32,1.5,27.92,36.28,F,7/2/16 0:06,0:09:07,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,21,,,
R2.3,2016003HB,HB1603,93,67,67,R,OT,CTD/IKMT Oblique,7/7/16 3:00,3720.8,6815.6,4838,EB,sbe067.hex,4/1/77,7/7/16 2:59,7/7/16 3:00,27.6,25.35,36.35,1.6,26.33,36.3,F,7/7/16 3:06,0:06:44,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,45,,,
R2.3,2016003HB,HB1603,93,21,21,R,OT,CTD/IKMT Oblique,7/1/16 2:12,3724.5,7155.1,3343,EB,sbe021.hex,4/1/77,7/1/16 2:11,7/1/16 2:12,23.7,28.36,36.38,1.5,28.3,36.3,F,7/1/16 2:19,0:07:00,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,16,,,
R2.3,2016003HB,HB1603,93,64,64,R,OT,CTD/IKMT Oblique,7/7/16 1:07,3729,6817.4,4774,GS,sbe064.hex,4/1/77,7/7/16 1:06,7/7/16 1:07,27.8,25.08,36.3,1.6,25.52,36.32,F,7/7/16 1:14,0:06:43,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,44,,,
R2.3,2016003HB,HB1603,93,52,52,R,OT,CTD/IKMT Oblique,7/4/16 23:26,3823.8,6950.3,3520,GS,sbe052.hex,4/1/77,7/4/16 23:26,7/4/16 23:26,26.1,27.01,36.48,1.5,27.95,36.4,F,7/4/16 23:35,0:09:32,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,36,,,
R2.3,2016003HB,HB1603,93,62,62,R,OT,CTD/IKMT Oblique,7/6/16 23:32,3738.8,6814.6,4719,GS,sbe062.hex,4/1/77,7/6/16 23:32,7/6/16 23:32,26.9,27.14,36.4,1.5,28.37,36.41,F,7/6/16 23:39,0:07:17,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,43,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
