EVENT_PK_SEQ,CRUISE_NAME,STATION,EVENT_NUMBER,GEAR,TOW_PROTOCOL,FORMATED_EVENT_DATE,LATITUDE,LONGITUDE,REGION,PLANKTON_STRATUM,BOTTOM_DEPTH_MAX_WIRE_OUT,TAXA_ICHTHYO,TAXA_NAME,ALIQUOT,TOTAL_COUNT,ABUNDANCE,CONC_100M3,COUNT_AT_LENGTH,LENGTH,LENGTH_ABUNDANCE,LENGTH_CONC_100M3
70152,GU1608,4,4,6B3I,STD,5/22/16 4:37,40.9167,-71.7617,SNE,20,49,183020301,Limanda ferruginea,1,8,41.12,9.13,1,4.3,5.14,1.14
70152,GU1608,4,4,6B3I,STD,5/22/16 4:37,40.9167,-71.7617,SNE,20,49,183020301,Limanda ferruginea,1,8,41.12,9.13,1,5,5.14,1.14
70152,GU1608,4,4,6B3I,STD,5/22/16 4:37,40.9167,-71.7617,SNE,20,49,183020301,Limanda ferruginea,1,8,41.12,9.13,1,5.4,5.14,1.14
70152,GU1608,4,4,6B3I,STD,5/22/16 4:37,40.9167,-71.7617,SNE,20,49,183020301,Limanda ferruginea,1,8,41.12,9.13,1,5.9,5.14,1.14
70152,GU1608,4,4,6B3I,STD,5/22/16 4:37,40.9167,-71.7617,SNE,20,49,148041400,Merluccius,1,1,5.14,1.14,1,1.4,5.14,1.14
70153,GU1608,5,5,6B3I,STD,5/22/16 6:26,40.915,-72.095,SNE,21,27,183020301,Limanda ferruginea,1,13,33.54,15.97,2,3.5,5.16,2.46
70153,GU1608,5,5,6B3I,STD,5/22/16 6:26,40.915,-72.095,SNE,21,27,183020301,Limanda ferruginea,1,13,33.54,15.97,1,3.8,2.58,1.23
70153,GU1608,5,5,6B3I,STD,5/22/16 6:26,40.915,-72.095,SNE,21,27,183020301,Limanda ferruginea,1,13,33.54,15.97,5,4,12.9,6.14
70153,GU1608,5,5,6B3I,STD,5/22/16 6:26,40.915,-72.095,SNE,21,27,183020301,Limanda ferruginea,1,13,33.54,15.97,2,4.2,5.16,2.46
70153,GU1608,5,5,6B3I,STD,5/22/16 6:26,40.915,-72.095,SNE,21,27,183020301,Limanda ferruginea,1,13,33.54,15.97,2,4.8,5.16,2.46
70153,GU1608,5,5,6B3I,STD,5/22/16 6:26,40.915,-72.095,SNE,21,27,183020301,Limanda ferruginea,1,13,33.54,15.97,1,5.5,2.58,1.23
70153,GU1608,5,5,6B3I,STD,5/22/16 6:26,40.915,-72.095,SNE,21,27,170280000,Labridae,1,1,2.58,1.23,1,1.5,2.58,1.23
70153,GU1608,5,5,6B3I,STD,5/22/16 6:26,40.915,-72.095,SNE,21,27,148010201,Enchelyopus cimbrius,1,1,2.58,1.23,1,2.5,2.58,1.23
70154,GU1608,6,6,6B3I,STD,5/22/16 8:36,40.6617,-72.3433,SNE,20,43,183020201,Hippoglossoides platessoides,1,1,3.9,1.06,1,4,3.9,1.06
70154,GU1608,6,6,6B3I,STD,5/22/16 8:36,40.6617,-72.3433,SNE,20,43,183020301,Limanda ferruginea,1,20,78,21.1,2,4,9.18,2.48
70154,GU1608,6,6,6B3I,STD,5/22/16 8:36,40.6617,-72.3433,SNE,20,43,183020301,Limanda ferruginea,1,20,78,21.1,2,4.1,9.18,2.48
70154,GU1608,6,6,6B3I,STD,5/22/16 8:36,40.6617,-72.3433,SNE,20,43,183020301,Limanda ferruginea,1,20,78,21.1,1,4.5,4.59,1.24
70154,GU1608,6,6,6B3I,STD,5/22/16 8:36,40.6617,-72.3433,SNE,20,43,183020301,Limanda ferruginea,1,20,78,21.1,1,4.6,4.59,1.24
70154,GU1608,6,6,6B3I,STD,5/22/16 8:36,40.6617,-72.3433,SNE,20,43,183020301,Limanda ferruginea,1,20,78,21.1,2,5,9.18,2.48
70154,GU1608,6,6,6B3I,STD,5/22/16 8:36,40.6617,-72.3433,SNE,20,43,183020301,Limanda ferruginea,1,20,78,21.1,1,5.5,4.59,1.24
70154,GU1608,6,6,6B3I,STD,5/22/16 8:36,40.6617,-72.3433,SNE,20,43,183020301,Limanda ferruginea,1,20,78,21.1,2,5.7,9.18,2.48
70154,GU1608,6,6,6B3I,STD,5/22/16 8:36,40.6617,-72.3433,SNE,20,43,183020301,Limanda ferruginea,1,20,78,21.1,3,6,13.76,3.72
70154,GU1608,6,6,6B3I,STD,5/22/16 8:36,40.6617,-72.3433,SNE,20,43,183020301,Limanda ferruginea,1,20,78,21.1,1,7.7,4.59,1.24
70154,GU1608,6,6,6B3I,STD,5/22/16 8:36,40.6617,-72.3433,SNE,20,43,183020301,Limanda ferruginea,1,20,78,21.1,1,8.7,4.59,1.24
70154,GU1608,6,6,6B3I,STD,5/22/16 8:36,40.6617,-72.3433,SNE,20,43,183020301,Limanda ferruginea,1,20,78,21.1,1,10.7,4.59,1.24
70155,GU1608,7,7,6B3I,STD,5/22/16 9:37,40.665,-72.5083,SNE,16,38,148010201,Enchelyopus cimbrius,1,3,10.98,3.43,1,1.8,3.66,1.14
70155,GU1608,7,7,6B3I,STD,5/22/16 9:37,40.665,-72.5083,SNE,16,38,148010201,Enchelyopus cimbrius,1,3,10.98,3.43,1,2,3.66,1.14
70155,GU1608,7,7,6B3I,STD,5/22/16 9:37,40.665,-72.5083,SNE,16,38,148010201,Enchelyopus cimbrius,1,3,10.98,3.43,1,3.6,3.66,1.14
70155,GU1608,7,7,6B3I,STD,5/22/16 9:37,40.665,-72.5083,SNE,16,38,148010301,Gadus morhua,1,1,3.66,1.14,1,7,3.66,1.14
70155,GU1608,7,7,6B3I,STD,5/22/16 9:37,40.665,-72.5083,SNE,16,38,183030101,Scophthalmus aquosus,1,2,7.32,2.29,2,1.8,7.32,2.29
70155,GU1608,7,7,6B3I,STD,5/22/16 9:37,40.665,-72.5083,SNE,16,38,183021301,Glyptocephalus cynoglossus,1,2,7.32,2.29,1,3.9,3.66,1.14
70155,GU1608,7,7,6B3I,STD,5/22/16 9:37,40.665,-72.5083,SNE,16,38,183021301,Glyptocephalus cynoglossus,1,2,7.32,2.29,1,4.8,3.66,1.14
70155,GU1608,7,7,6B3I,STD,5/22/16 9:37,40.665,-72.5083,SNE,16,38,183020301,Limanda ferruginea,1,7,25.62,8.01,1,3.5,3.66,1.14
70155,GU1608,7,7,6B3I,STD,5/22/16 9:37,40.665,-72.5083,SNE,16,38,183020301,Limanda ferruginea,1,7,25.62,8.01,1,3.7,3.66,1.14
70155,GU1608,7,7,6B3I,STD,5/22/16 9:37,40.665,-72.5083,SNE,16,38,183020301,Limanda ferruginea,1,7,25.62,8.01,1,3.8,3.66,1.14
70155,GU1608,7,7,6B3I,STD,5/22/16 9:37,40.665,-72.5083,SNE,16,38,183020301,Limanda ferruginea,1,7,25.62,8.01,1,3.9,3.66,1.14
70155,GU1608,7,7,6B3I,STD,5/22/16 9:37,40.665,-72.5083,SNE,16,38,183020301,Limanda ferruginea,1,7,25.62,8.01,1,4.3,3.66,1.14
70155,GU1608,7,7,6B3I,STD,5/22/16 9:37,40.665,-72.5083,SNE,16,38,183020301,Limanda ferruginea,1,7,25.62,8.01,1,4.7,3.66,1.14
70155,GU1608,7,7,6B3I,STD,5/22/16 9:37,40.665,-72.5083,SNE,16,38,183020301,Limanda ferruginea,1,7,25.62,8.01,1,5,3.66,1.14
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183030101,Scophthalmus aquosus,1,3,11.34,2.52,3,1.8,11.34,2.52
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183021301,Glyptocephalus cynoglossus,1,1,3.78,0.84,1,12,3.78,0.84
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183020301,Limanda ferruginea,1,18,68.04,15.13,1,3.6,3.78,0.84
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183020301,Limanda ferruginea,1,18,68.04,15.13,2,3.8,7.56,1.68
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183020301,Limanda ferruginea,1,18,68.04,15.13,1,4,3.78,0.84
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183020301,Limanda ferruginea,1,18,68.04,15.13,1,4.2,3.78,0.84
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183020301,Limanda ferruginea,1,18,68.04,15.13,1,4.4,3.78,0.84
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183020301,Limanda ferruginea,1,18,68.04,15.13,2,4.6,7.56,1.68
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183020301,Limanda ferruginea,1,18,68.04,15.13,1,5.2,3.78,0.84
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183020301,Limanda ferruginea,1,18,68.04,15.13,1,5.4,3.78,0.84
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183020301,Limanda ferruginea,1,18,68.04,15.13,1,5.5,3.78,0.84
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183020301,Limanda ferruginea,1,18,68.04,15.13,1,5.8,3.78,0.84
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183020301,Limanda ferruginea,1,18,68.04,15.13,1,6,3.78,0.84
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183020301,Limanda ferruginea,1,18,68.04,15.13,1,6.2,3.78,0.84
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183020301,Limanda ferruginea,1,18,68.04,15.13,1,6.4,3.78,0.84
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183020301,Limanda ferruginea,1,18,68.04,15.13,2,7,7.56,1.68
70156,GU1608,8,8,6B3I,STD,5/22/16 11:33,40.41,-72.5017,SNE,16,49,183020301,Limanda ferruginea,1,18,68.04,15.13,1,10.2,3.78,0.84
70157,GU1608,9,9,6B3I,STD,5/22/16 12:25,40.3317,-72.585,SNE,16,50,183020301,Limanda ferruginea,1,1,4.39,1,1,7.6,4.39,1
70157,GU1608,9,9,6B3I,STD,5/22/16 12:25,40.3317,-72.585,SNE,16,50,183030101,Scophthalmus aquosus,1,3,13.17,2.99,1,2,4.39,1
70157,GU1608,9,9,6B3I,STD,5/22/16 12:25,40.3317,-72.585,SNE,16,50,183030101,Scophthalmus aquosus,1,3,13.17,2.99,1,2.1,4.39,1
70157,GU1608,9,9,6B3I,STD,5/22/16 12:25,40.3317,-72.585,SNE,16,50,183030101,Scophthalmus aquosus,1,3,13.17,2.99,1,2.4,4.39,1
70158,GU1608,10,10,6B3I,STD,5/22/16 14:43,40.415,-73.0033,SNE,16,38,183030101,Scophthalmus aquosus,1,7,20.16,6.11,5,1.8,14.4,4.36
70158,GU1608,10,10,6B3I,STD,5/22/16 14:43,40.415,-73.0033,SNE,16,38,183030101,Scophthalmus aquosus,1,7,20.16,6.11,2,2,5.76,1.75
70158,GU1608,10,10,6B3I,STD,5/22/16 14:43,40.415,-73.0033,SNE,16,38,148041400,Merluccius,1,1,2.88,0.87,1,1.8,2.88,0.87
70158,GU1608,10,10,6B3I,STD,5/22/16 14:43,40.415,-73.0033,SNE,16,38,183021301,Glyptocephalus cynoglossus,1,2,5.76,1.75,1,3.7,2.88,0.87
70158,GU1608,10,10,6B3I,STD,5/22/16 14:43,40.415,-73.0033,SNE,16,38,183021301,Glyptocephalus cynoglossus,1,2,5.76,1.75,1,4.5,2.88,0.87
70158,GU1608,10,10,6B3I,STD,5/22/16 14:43,40.415,-73.0033,SNE,16,38,183020301,Limanda ferruginea,1,6,17.28,5.24,1,2.2,2.88,0.87
70158,GU1608,10,10,6B3I,STD,5/22/16 14:43,40.415,-73.0033,SNE,16,38,183020301,Limanda ferruginea,1,6,17.28,5.24,1,4,2.88,0.87
70158,GU1608,10,10,6B3I,STD,5/22/16 14:43,40.415,-73.0033,SNE,16,38,183020301,Limanda ferruginea,1,6,17.28,5.24,1,4.8,2.88,0.87
70158,GU1608,10,10,6B3I,STD,5/22/16 14:43,40.415,-73.0033,SNE,16,38,183020301,Limanda ferruginea,1,6,17.28,5.24,1,5.4,2.88,0.87
70158,GU1608,10,10,6B3I,STD,5/22/16 14:43,40.415,-73.0033,SNE,16,38,183020301,Limanda ferruginea,1,6,17.28,5.24,1,7,2.88,0.87
70158,GU1608,10,10,6B3I,STD,5/22/16 14:43,40.415,-73.0033,SNE,16,38,183020301,Limanda ferruginea,1,6,17.28,5.24,1,8,2.88,0.87
70159,GU1608,11,11,6B3I,STD,5/22/16 16:57,40.415,-73.42,SNE,17,30,148010201,Enchelyopus cimbrius,1,1,3.23,1.24,1,2.2,3.23,1.24
70159,GU1608,11,11,6B3I,STD,5/22/16 16:57,40.415,-73.42,SNE,17,30,183030101,Scophthalmus aquosus,1,5,16.15,6.21,1,2.4,3.23,1.24
70159,GU1608,11,11,6B3I,STD,5/22/16 16:57,40.415,-73.42,SNE,17,30,183030101,Scophthalmus aquosus,1,5,16.15,6.21,1,2.6,3.23,1.24
70159,GU1608,11,11,6B3I,STD,5/22/16 16:57,40.415,-73.42,SNE,17,30,183030101,Scophthalmus aquosus,1,5,16.15,6.21,1,2.7,3.23,1.24
70159,GU1608,11,11,6B3I,STD,5/22/16 16:57,40.415,-73.42,SNE,17,30,183030101,Scophthalmus aquosus,1,5,16.15,6.21,1,2.8,3.23,1.24
70159,GU1608,11,11,6B3I,STD,5/22/16 16:57,40.415,-73.42,SNE,17,30,183030101,Scophthalmus aquosus,1,5,16.15,6.21,1,4.5,3.23,1.24
70159,GU1608,11,11,6B3I,STD,5/22/16 16:57,40.415,-73.42,SNE,17,30,170282601,Tautoga onitis,1,7,22.61,8.7,,,,
70159,GU1608,11,11,6B3I,STD,5/22/16 16:57,40.415,-73.42,SNE,17,30,121060000,Engraulidae,1,1,3.23,1.24,1,3.4,3.23,1.24
70159,GU1608,11,11,6B3I,STD,5/22/16 16:57,40.415,-73.42,SNE,17,30,183020301,Limanda ferruginea,1,1,3.23,1.24,1,4.9,3.23,1.24
70159,GU1608,11,11,6B3I,STD,5/22/16 16:57,40.415,-73.42,SNE,17,30,100000001,Damaged larvae,1,1,3.23,1.24,,,,
70160,GU1608,12,12,6B3I,STD,5/22/16 22:25,39.58,-73.5067,MAB,11,38,183021301,Glyptocephalus cynoglossus,1,1,3.17,0.93,1,8.2,3.17,0.93
70161,GU1608,13,13,6B3I,STD,5/22/16 23:35,39.4183,-73.42,MAB,11,37,100000014,No larvae caught,1,0,0,,0,0,0,
70162,GU1608,15,15,6B3I,STD,5/23/16 2:25,39.3317,-73.09,MAB,10,62,100000014,No larvae caught,1,0,0,,0,0,0,
70163,GU1608,16,16,6B3I,STD,5/23/16 4:00,39.2483,-72.845,MAB,10,83,132082200,Benthosema,1,3,16.56,2.1,1,5,5.52,0.7
70163,GU1608,16,16,6B3I,STD,5/23/16 4:00,39.2483,-72.845,MAB,10,83,132082200,Benthosema,1,3,16.56,2.1,1,6.8,5.52,0.7
70163,GU1608,16,16,6B3I,STD,5/23/16 4:00,39.2483,-72.845,MAB,10,83,132082200,Benthosema,1,3,16.56,2.1,1,7.2,5.52,0.7
70163,GU1608,16,16,6B3I,STD,5/23/16 4:00,39.2483,-72.845,MAB,10,83,121140200,Cyclothone,1,2,11.04,1.4,1,5.5,5.52,0.7
70163,GU1608,16,16,6B3I,STD,5/23/16 4:00,39.2483,-72.845,MAB,10,83,121140200,Cyclothone,1,2,11.04,1.4,1,10.8,5.52,0.7
70163,GU1608,16,16,6B3I,STD,5/23/16 4:00,39.2483,-72.845,MAB,10,83,132081000,Hygophum,1,1,5.52,0.7,1,6.8,5.52,0.7
70164,GU1608,19,19,6B3I,OT,5/23/16 9:06,38.87,-72.47,MAB,56,1850,121140200,Cyclothone,1,1,5.38,0.27,1,3,5.38,0.27
70164,GU1608,19,19,6B3I,OT,5/23/16 9:06,38.87,-72.47,MAB,56,1850,170440100,Auxis,1,1,5.38,0.27,1,4.2,5.38,0.27
70164,GU1608,19,19,6B3I,OT,5/23/16 9:06,38.87,-72.47,MAB,56,1850,132080000,Myctophidae,1,2,10.76,0.53,1,2,5.38,0.27
70164,GU1608,19,19,6B3I,OT,5/23/16 9:06,38.87,-72.47,MAB,56,1850,132080000,Myctophidae,1,2,10.76,0.53,1,2.7,5.38,0.27
70164,GU1608,19,19,6B3I,OT,5/23/16 9:06,38.87,-72.47,MAB,56,1850,132080200,Diaphus,1,1,5.38,0.27,1,2.4,5.38,0.27
70164,GU1608,19,19,6B3I,OT,5/23/16 9:06,38.87,-72.47,MAB,56,1850,132051003,Paralepis coregonoides,1,1,5.38,0.27,1,14,5.38,0.27
70165,GU1608,20,20,6B3I,OT,5/23/16 11:13,38.8483,-72.7767,MAB,56,1321,132080200,Diaphus,1,5,25.95,1.29,1,3.1,5.19,0.26
70165,GU1608,20,20,6B3I,OT,5/23/16 11:13,38.8483,-72.7767,MAB,56,1321,132080200,Diaphus,1,5,25.95,1.29,2,4,10.38,0.52
70165,GU1608,20,20,6B3I,OT,5/23/16 11:13,38.8483,-72.7767,MAB,56,1321,132080200,Diaphus,1,5,25.95,1.29,1,4.1,5.19,0.26
70165,GU1608,20,20,6B3I,OT,5/23/16 11:13,38.8483,-72.7767,MAB,56,1321,132080200,Diaphus,1,5,25.95,1.29,1,5,5.19,0.26
70165,GU1608,20,20,6B3I,OT,5/23/16 11:13,38.8483,-72.7767,MAB,56,1321,132080902,Ceratoscopelus maderensis,1,2,10.38,0.52,1,4.8,5.19,0.26
70165,GU1608,20,20,6B3I,OT,5/23/16 11:13,38.8483,-72.7767,MAB,56,1321,132080902,Ceratoscopelus maderensis,1,2,10.38,0.52,1,6.7,5.19,0.26
70165,GU1608,20,20,6B3I,OT,5/23/16 11:13,38.8483,-72.7767,MAB,56,1321,160030000,Melamphaidae,1,1,5.19,0.26,1,5.1,5.19,0.26
70166,GU1608,21,21,6B3I,STD,5/23/16 13:14,38.8317,-73.0833,MAB,10,89,183012403,Paralichthys dentatus,1,1,4.75,0.56,1,3,4.75,0.56
70166,GU1608,21,21,6B3I,STD,5/23/16 13:14,38.8317,-73.0833,MAB,10,89,132080902,Ceratoscopelus maderensis,1,1,4.75,0.56,1,7.1,4.75,0.56
70166,GU1608,21,21,6B3I,STD,5/23/16 13:14,38.8317,-73.0833,MAB,10,89,132082200,Benthosema,1,6,28.5,3.35,1,9.7,4.75,0.56
70166,GU1608,21,21,6B3I,STD,5/23/16 13:14,38.8317,-73.0833,MAB,10,89,132082200,Benthosema,1,6,28.5,3.35,1,9.8,4.75,0.56
70166,GU1608,21,21,6B3I,STD,5/23/16 13:14,38.8317,-73.0833,MAB,10,89,132082200,Benthosema,1,6,28.5,3.35,2,10,9.5,1.12
70166,GU1608,21,21,6B3I,STD,5/23/16 13:14,38.8317,-73.0833,MAB,10,89,132082200,Benthosema,1,6,28.5,3.35,1,10.5,4.75,0.56
70166,GU1608,21,21,6B3I,STD,5/23/16 13:14,38.8317,-73.0833,MAB,10,89,132082200,Benthosema,1,6,28.5,3.35,1,10.8,4.75,0.56
70166,GU1608,21,21,6B3I,STD,5/23/16 13:14,38.8317,-73.0833,MAB,10,89,132081000,Hygophum,1,3,14.25,1.68,1,4.1,4.75,0.56
70166,GU1608,21,21,6B3I,STD,5/23/16 13:14,38.8317,-73.0833,MAB,10,89,132081000,Hygophum,1,3,14.25,1.68,1,6,4.75,0.56
70166,GU1608,21,21,6B3I,STD,5/23/16 13:14,38.8317,-73.0833,MAB,10,89,132081000,Hygophum,1,3,14.25,1.68,1,6.6,4.75,0.56
70166,GU1608,21,21,6B3I,STD,5/23/16 13:14,38.8317,-73.0833,MAB,10,89,183000000,Pleuronectiformes,1,1,4.75,0.56,1,2,4.75,0.56
70166,GU1608,21,21,6B3I,STD,5/23/16 13:14,38.8317,-73.0833,MAB,10,89,148041400,Merluccius,1,1,4.75,0.56,,,,
70167,GU1608,22,22,6B3I,STD,5/23/16 15:55,38.5017,-73.3417,MAB,10,127,121140800,Maurolicus,1,1,4.63,0.38,1,7.7,4.63,0.38
70167,GU1608,22,22,6B3I,STD,5/23/16 15:55,38.5017,-73.3417,MAB,10,127,132082200,Benthosema,1,20,92.6,7.59,1,2.8,4.87,0.4
70167,GU1608,22,22,6B3I,STD,5/23/16 15:55,38.5017,-73.3417,MAB,10,127,132082200,Benthosema,1,20,92.6,7.59,2,3,9.75,0.8
70167,GU1608,22,22,6B3I,STD,5/23/16 15:55,38.5017,-73.3417,MAB,10,127,132082200,Benthosema,1,20,92.6,7.59,1,3.3,4.87,0.4
70167,GU1608,22,22,6B3I,STD,5/23/16 15:55,38.5017,-73.3417,MAB,10,127,132082200,Benthosema,1,20,92.6,7.59,2,3.5,9.75,0.8
