n,Fish,Radius,ToRing1,ToRing2,ToRing3,ToRing4,ToRing5,ToRing6,ToRing7,ToRing8,ToRing9,ToRing10,ToRing11,ToRing12,ToRing13,ToRing14,ToRing15,ToRing16,ToRing17,ToRing18,ToRing19,ToRing20,ToRing21,ToRing22,ToRing23,ToRing24,Age
18,OR317_0142a.tif,17.8657,11.0732,12.6152,15.3215,,,,,,,,,,,,,,,,,,,,,,3
19,OR317_0282a.tif,20.6779,9.7704,10.7725,12.5815,14.0663,16.2938,,,,,,,,,,,,,,,,,,,,5
20,OR317_0178a.tif,26.7559,10.6127,11.5426,13.3479,15.9198,18.7652,22.5945,,,,,,,,,,,,,,,,,,,6
21,OR317_0098a.tif,46.3659,10.0633,11.0171,12.8879,14.8425,16.8549,19.0764,21.1828,23.6405,26.9471,31.0135,36.0337,42.2154,,,,,,,,,,,,,12
22,OR317_0271a.tif,21.7168,10.7026,11.4827,12.8184,14.964,17.7167,20.0455,,,,,,,,,,,,,,,,,,,6
23,OR317_0270a.tif,20.7637,9.3968,10.0889,10.9676,12.5024,15.3231,18.2148,,,,,,,,,,,,,,,,,,,6
24,OR317_0113a.tif,44.766,10.7852,11.3721,12.6138,13.4604,14.8764,16.6063,18.6496,21.0245,24.0581,27.7775,32.6127,38.3259,,,,,,,,,,,,,12
25,OR317_0224c.tif,37.5125,10.5941,11.5797,12.8972,15.3739,18.7562,24.2646,29.1636,36.3737,,,,,,,,,,,,,,,,,8
26,OR317_0275c.tif,22.0294,10.5887,11.8028,13.83,17.3866,20.2488,,,,,,,,,,,,,,,,,,,,5
27,OR317_0266a.tif,24.4603,12.3315,13.2306,15.0209,17.322,19.3305,22.7364,,,,,,,,,,,,,,,,,,,6
28,OR317_0138b.tif,24.5449,10.0698,10.9186,12.1124,13.3884,15.7023,18.2403,21.7703,,,,,,,,,,,,,,,,,,7
29,OR317_0177_finalC.tif,61.7776,8.1125,8.8946,10.4541,12.3254,14.9165,18.6353,23.4817,28.5776,35.4728,46.3364,56.0403,,,,,,,,,,,,,,11
30,OR317_0184a.tif,40.7667,10.9936,11.7037,13.1698,15.1998,17.4344,19.6482,22.2212,25.8802,29.9025,35.7753,,,,,,,,,,,,,,,10
31,OR317_0242a_bottomleft.tif,10.8961,8.1672,9.2102,,,,,,,,,,,,,,,,,,,,,,,2
32,OR317_0119b.tif,25.1186,11.1322,12.5252,14.1834,15.8028,17.9525,20.3143,23.3528,,,,,,,,,,,,,,,,,,7
33,OR317_0089a.tif,42.2799,9.5108,10.3032,11.5929,13.1707,15.0082,16.8346,19.5511,22.4186,25.0053,27.7973,31.4612,35.2077,39.6641,,,,,,,,,,,,13
34,OR317_0279a.tif,20.5316,9.2191,10.3533,11.998,13.8935,16.3806,19.1003,,,,,,,,,,,,,,,,,,,6
35,OR317_0160a_upperright.tif,11.5485,8.8594,9.8985,,,,,,,,,,,,,,,,,,,,,,,2
36,OR317_0130c.tif,29.1321,10.8238,11.757,13.1139,14.5756,16.9245,19.5996,23.142,26.6655,,,,,,,,,,,,,,,,,8
37,OR317_0183b_right.tif,12.2777,10.598,,,,,,,,,,,,,,,,,,,,,,,,1
38,OR317_0246b.tif,24.5311,10.5462,12.1659,13.972,16.2963,18.7743,21.9568,,,,,,,,,,,,,,,,,,,6
39,OR317_0094a.tif,34.6159,10.874,11.7447,13.5086,14.9748,16.5362,18.4377,21.0874,24.5927,28.6436,33.1723,,,,,,,,,,,,,,,10
40,OR317_0140a.tif,21.1866,9.7987,10.7848,12.1029,13.9267,17.1272,19.6401,,,,,,,,,,,,,,,,,,,6
41,OR317_0260b.tif,21.2242,9.2278,10.1162,11.5765,14.3701,17.0027,19.585,,,,,,,,,,,,,,,,,,,6
42,OR317_0106d.tif,40.4415,9.312,10.2981,11.7805,13.4185,15.2309,16.8205,18.4163,19.9956,22.6786,26.1249,29.7332,33.5179,38.1123,,,,,,,,,,,,13
43,OR317_0135a.tif,21.4677,9.7754,10.924,12.3763,14.2361,16.3192,18.9499,,,,,,,,,,,,,,,,,,,6
44,OR317_0137a.tif,22.4262,8.9685,9.5686,10.9942,12.3273,14.3983,16.9624,19.9238,,,,,,,,,,,,,,,,,,7
45,OR317_0118b.tif,25.1295,11.2986,12.5799,14.2885,16.4855,18.3138,20.9104,23.6973,,,,,,,,,,,,,,,,,,7
46,OR317_0201a.tif,23.1374,9.5949,10.2353,11.619,13.6285,16.2559,18.7659,,,,,,,,,,,,,,,,,,,6
47,OR317_0117a.tif,23.9474,9.5225,10.8339,12.0629,13.7077,15.7835,17.7045,19.6924,22.1686,,,,,,,,,,,,,,,,,8
48,OR317_0129a.tif,16.4025,10.1755,11.457,14.1587,,,,,,,,,,,,,,,,,,,,,,3
49,OR317_0238b.tif,28.701,7.9381,9.0106,9.9241,11.1955,12.8839,15.0687,17.8911,21.5342,25.511,,,,,,,,,,,,,,,,9
50,OR317_0179d.tif,22.6106,9.063,9.806,10.9207,12.2476,14.5829,17.5287,21.0848,,,,,,,,,,,,,,,,,,7
51,OR317_0207a_bottomright.tif,10.5511,8.0382,,,,,,,,,,,,,,,,,,,,,,,,1
52,OR317_0082b.tif,47.482,9.7266,10.8193,12.3245,13.863,15.1803,16.8402,19.1254,22.6398,26.9643,31.6712,36.8455,43.2822,,,,,,,,,,,,,12
53,OR317_0168b.tif,48.8643,9.7589,10.3599,11.398,12.6084,13.5947,15.346,17.3185,20.1653,23.2854,27.5037,34.1345,43.3643,,,,,,,,,,,,,12
54,OR317_0078a.tif,21.7249,8.4388,9.382,10.2606,12.1895,13.8985,15.3046,18.1411,,,,,,,,,,,,,,,,,,7
55,OR317_0116a.tif,25.1434,9.4394,10.3109,11.4392,12.6687,14.8599,16.7177,18.9388,22.6381,,,,,,,,,,,,,,,,,8
56,OR317_0226c.tif,29.9778,12.2283,13.1066,15.0138,17.7992,21.443,25.8345,,,,,,,,,,,,,,,,,,,6
57,OR317_0222a.tif,35.1945,8.7832,9.841,11.042,12.3012,13.632,15.4336,17.8086,20.9002,25.3907,30.8129,,,,,,,,,,,,,,,10
58,OR317_0075a_diffoto.tif,34.9977,11.4386,12.8064,14.2195,15.8689,17.8969,20.4944,23.9118,28.2299,33.4246,,,,,,,,,,,,,,,,9
59,OR317_0214b_upperright.tif,12.2007,,,,,,,,,,,,,,,,,,,,,,,,,0
60,OR317_0244b.tif,46.8382,10.9478,11.8699,13.236,14.9862,17.2061,20.3737,24.8304,31.7715,,,,,,,,,,,,,,,,,8
61,OR317_0176b.tif,102.9885,9.6298,10.3059,11.8373,13.7762,15.8726,17.7437,19.7134,22.1155,24.7182,27.5433,32.6098,41.4739,50.8258,64.3859,80.8081,94.0998,,,,,,,,,16
62,OR317_0293b.tif,16.721,10.8386,12.216,14.2116,,,,,,,,,,,,,,,,,,,,,,3
63,OR317_0185a.tif,15.8534,9.1955,10.718,11.9868,13.9443,,,,,,,,,,,,,,,,,,,,,4
64,OR317_0273a.tif,22.877,11.262,12.6467,14.6027,17.7787,20.6926,,,,,,,,,,,,,,,,,,,,5
65,OR317_0151b.tif,12.6104,10.9437,,,,,,,,,,,,,,,,,,,,,,,,1
66,OR317_0272b.tif,20.219,10.8974,12.3834,14.3597,16.4994,19.4069,,,,,,,,,,,,,,,,,,,,5
67,OR317_0105a.tif,40.7757,10.8131,11.7445,13.1711,15.043,17.5738,19.6592,21.9535,25.0885,28.6643,32.5671,37.7054,,,,,,,,,,,,,,11
68,OR317_0189d_upperleft.tif,12.7504,11.1047,,,,,,,,,,,,,,,,,,,,,,,,1
69,OR317_0084c.tif,33.3149,10.6676,11.6997,13.3322,15.0836,16.6537,18.2956,20.275,22.0486,24.0377,26.6464,29.4989,,,,,,,,,,,,,,11
70,OR317_0110b.tif,31.7482,10.276,10.9357,12.2551,13.7862,15.3737,16.6314,18.4906,20.408,22.6517,24.4597,26.7051,30.0443,,,,,,,,,,,,,12
71,OR317_0088a.tif,35.4591,9.2267,9.9521,11.0726,12.7608,14.0469,15.8786,17.8901,20.7564,23.6515,26.9848,30.5623,,,,,,,,,,,,,,11
72,OR317_0127b_diffoto.tif,23.6838,10.184,10.8048,12.0423,13.5139,14.8665,17.3832,20.5187,,,,,,,,,,,,,,,,,,7
73,OR317_0108c.tif,43.2914,9.3403,10.7418,12.5152,14.131,15.8062,17.6659,20.4838,23.3879,26.8068,30.928,35.9209,40.2266,,,,,,,,,,,,,12
74,OR317_0288d.tif,42.7216,9.9777,10.6518,11.9491,13.8178,17.0702,21.0326,26.7938,33.4544,39.7808,,,,,,,,,,,,,,,,9
75,OR317_0092c.tif,42.5807,10.0275,11.2701,12.47,13.9446,15.6857,17.6188,19.9067,22.6557,25.8315,29.5111,33.8867,38.6062,,,,,,,,,,,,,12
76,OR317_0249a.tif,22.0631,12.1875,13.663,15.7489,18.4928,,,,,,,,,,,,,,,,,,,,,4
77,OR317_0086a.tif,37.1945,9.195,10.1408,10.8319,12.5487,13.6872,15.4749,16.948,18.7556,21.1545,24.2934,27.7579,31.6588,,,,,,,,,,,,,12
78,OR317_0212a.tif,26.6563,9.914,10.6749,12.2217,14.149,17.1152,20.9092,25.1151,,,,,,,,,,,,,,,,,,7
79,OR317_0182a.tif,15.1903,11.2641,12.5195,,,,,,,,,,,,,,,,,,,,,,,2
80,OR317_0231d.tif,31.557,10.8539,13.0266,15.4052,18.7899,22.7072,27.7407,,,,,,,,,,,,,,,,,,,6
81,OR317_0251b.tif,33.8499,10.0169,10.7715,12.2971,14.6467,17.8824,21.7204,26.3131,32.2115,,,,,,,,,,,,,,,,,8
82,OR317_0141c.tif,20.278,10.7536,11.7039,13.3493,15.1104,17.1883,18.9061,,,,,,,,,,,,,,,,,,,6
83,OR317_0136d.tif,21.4976,10.2292,11.5502,13.1152,15.2076,18.0524,20.2289,,,,,,,,,,,,,,,,,,,6
84,OR317_0227a.tif,32.2724,9.7996,10.7018,12.0576,13.7286,16.2765,19.3285,23.1631,28.0196,,,,,,,,,,,,,,,,,8
85,OR317_0096a.tif,38.7278,10.5139,11.5486,13.2109,15.1952,16.7131,18.4772,21.1483,24.4894,27.5844,30.5609,34.1649,,,,,,,,,,,,,,11
86,OR317_0159a_upperright.tif,10.5953,,,,,,,,,,,,,,,,,,,,,,,,,0
87,OR317_0267a_diffoto.tif,22.2764,11.0396,12.6891,15.2318,18.0785,,,,,,,,,,,,,,,,,,,,,4
88,OR317_0147a.tif,17.3248,11.211,12.4328,15.0935,,,,,,,,,,,,,,,,,,,,,,3
89,OR317_0131b_diffoto.tif,27.0641,11.0361,11.6285,12.6694,14.1503,16.3989,18.8057,21.5432,24.9363,,,,,,,,,,,,,,,,,8
90,OR317_0269a.tif,21.2493,9.6904,10.7927,12.2046,14.1633,16.745,19.6896,,,,,,,,,,,,,,,,,,,6
91,OR317_0290b.tif,22.599,9.8234,10.6328,11.6816,13.3437,15.8207,18.7619,,,,,,,,,,,,,,,,,,,6
92,OR317_0132b.tif,27.706,10.9649,12.1555,13.2134,14.4563,16.6404,19.9509,24.1181,,,,,,,,,,,,,,,,,,7
93,OR317_0134a.tif,22.9064,10.2599,11.1908,12.4539,13.8317,15.476,18.4368,20.8931,,,,,,,,,,,,,,,,,,7
94,OR317_0247a.tif,22.3027,10.5456,11.7747,13.5667,15.959,18.5868,20.9706,,,,,,,,,,,,,,,,,,,6
95,OR317_0074a_bottom.tif,12.2708,,,,,,,,,,,,,,,,,,,,,,,,,0
96,OR317_0263b.tif,21.2557,6.9069,7.9619,9.4343,10.8002,12.3385,14.5843,17.1088,20.0046,,,,,,,,,,,,,,,,,8
97,OR317_0083d.tif,35.0663,10.9198,12.1783,13.4072,14.6781,16.4457,18.0112,20.2459,22.9392,25.5906,28.6081,31.5697,,,,,,,,,,,,,,11
98,OR317_0277a.tif,21.6049,11.0167,12.5728,14.5156,17.1333,19.615,,,,,,,,,,,,,,,,,,,,5
99,OR317_0188b_secondfrombottomoto.tif,12.7685,10.3643,,,,,,,,,,,,,,,,,,,,,,,,1
100,OR317_0200d.tif,16.3657,10.574,11.9942,14.0771,,,,,,,,,,,,,,,,,,,,,,3
101,OR317_0198a.tif,22.8234,9.8285,10.5299,11.8655,13.2294,15.4158,19.4509,,,,,,,,,,,,,,,,,,,6
102,OR317_0101c.tif,35.8248,9.4812,10.7185,12.0433,13.63,15.3878,17.2511,19.7767,21.8951,23.9148,26.5056,29.2024,32.878,,,,,,,,,,,,,12
103,OR317_0230b.tif,36.2552,9.2928,10.3428,12.5228,15.5896,18.25,22.6747,27.823,,,,,,,,,,,,,,,,,,7
104,OR317_0103b.tif,49.5489,10.2581,10.828,12.288,14.1705,16.3221,19.9207,23.1416,27.5727,31.9718,37.0752,43.7027,,,,,,,,,,,,,,11
105,OR317_0133c.tif,20.7498,9.7908,10.6265,12.0532,13.748,16.2151,18.8691,,,,,,,,,,,,,,,,,,,6
106,OR317_0234c.tif,29.791,9.9541,11.2443,12.9959,15.7557,19.0282,23.4712,,,,,,,,,,,,,,,,,,,6
107,OR317_0236a.tif,29.7844,11.2156,12.4751,14.6094,17.3639,20.3182,24.4289,,,,,,,,,,,,,,,,,,,6
108,OR317_0216b.tif,11.9273,,,,,,,,,,,,,,,,,,,,,,,,,0
109,OR317_0256b.tif,29.1371,9.6922,10.5054,11.631,13.7249,16.7692,19.3461,23.3609,27.5779,,,,,,,,,,,,,,,,,8
110,OR317_0286d.tif,38.6893,9.2252,9.7382,10.7076,12.6015,14.9767,18.2914,22.6754,28.084,34.0537,,,,,,,,,,,,,,,,9
111,OR317_0104a.tif,52.8695,9.4142,10.525,12.4891,14.5075,16.878,20.2238,24.1792,28.243,33.2143,41.7076,50.6343,,,,,,,,,,,,,,11
112,OR317_0139a.tif,23.3525,10.9098,11.6382,12.9583,15.4012,18.0415,21.6528,,,,,,,,,,,,,,,,,,,6
113,OR317_0289b.tif,40.4912,9.6875,10.2626,11.5043,13.1821,15.0242,17.4477,20.2945,23.8745,28.734,34.4878,,,,,,,,,,,,,,,10
114,OR317_0128d.tif,18.1427,10.8507,11.8665,13.5195,15.8521,,,,,,,,,,,,,,,,,,,,,4
115,OR317_0196c.tif,35.7918,9.1948,9.9174,11.6156,14.0649,16.298,18.4841,21.5523,26.0184,32.3986,,,,,,,,,,,,,,,,9
116,OR317_0281a.tif,31.7349,8.9456,9.8562,11.0856,12.9823,15.0801,18.2523,23.0611,27.4628,,,,,,,,,,,,,,,,,8
117,OR317_0122b.tif,36.7724,9.2328,9.9997,11.8058,13.7203,16.2379,19.8131,23.5283,27.0669,31.3903,,,,,,,,,,,,,,,,9
118,OR317_0180b.tif,59.6371,8.8399,9.877,11.4911,13.0152,15.1284,17.188,19.2501,21.8819,25.3779,29.3024,34.0035,39.0553,46.1374,54.1195,,,,,,,,,,,14
119,OR317_0284c.tif,44.5996,10.2657,11.6538,13.6445,16.4898,19.8117,24.1408,29.7174,36.697,,,,,,,,,,,,,,,,,8
120,OR317_0144a.tif,17.1117,10.9502,11.7319,13.6441,15.5803,,,,,,,,,,,,,,,,,,,,,4
121,OR317_0181d.tif,56.3504,10.4034,11.5804,12.9028,14.7884,16.623,18.8731,21.5021,24.0126,27.1721,33.0915,39.1586,47.1892,,,,,,,,,,,,,12
122,OR317_0107c.tif,39.1542,9.4062,10.7569,12.3303,14.4337,16.7176,19.2325,22.4425,25.7714,29.4467,32.9617,36.6426,,,,,,,,,,,,,,11
123,OR317_0111a.tif,39.2843,11.1815,12.3019,13.934,15.9934,17.5636,19.4615,21.9905,25.2473,27.657,30.094,33.3733,37.0151,,,,,,,,,,,,,12
124,OR317_0170b.tif,21.7328,10.1225,11.5645,14.039,17.0027,20.7486,,,,,,,,,,,,,,,,,,,,5
125,OR317_0145a.tif,17.4222,9.421,10.726,12.3499,14.8678,,,,,,,,,,,,,,,,,,,,,4
126,OR317_0232b.tif,32.6782,9.445,10.3914,12.4171,14.1107,17.4199,21.6551,26.7175,,,,,,,,,,,,,,,,,,7
127,OR317_0206a.tif,28.7241,10.013,10.9973,12.9125,15.1561,17.7278,21.3406,25.935,,,,,,,,,,,,,,,,,,7
128,OR317_0120b.tif,19.9147,10.4173,11.4739,13.1708,14.8872,16.4428,18.5395,,,,,,,,,,,,,,,,,,,6
129,OR317_0100c.tif,35.9568,11.4182,13.2401,14.635,16.5254,18.2336,20.4053,22.9267,26.0983,29.2829,31.8365,34.2035,,,,,,,,,,,,,,11
130,OR317_0124b.tif,21.3838,10.9687,12.0064,13.9095,16.5916,20.1386,,,,,,,,,,,,,,,,,,,,5
131,OR317_0210a_top.tif,11.3262,8.6956,,,,,,,,,,,,,,,,,,,,,,,,1
132,OR317_0077a.tif,29.7698,12.8223,13.7378,14.833,15.9323,17.9672,21.0388,24.9873,,,,,,,,,,,,,,,,,,7
133,OR317_0090a.tif,38.3525,10.2935,11.5355,13.5322,15.5734,17.2373,19.1801,21.5635,23.921,27.0051,30.4876,34.0849,37.2643,,,,,,,,,,,,,12
134,OR317_0080b_diffoto.tif,25.8496,10.7258,12.0954,13.8408,15.7264,18.4104,21.056,,,,,,,,,,,,,,,,,,,6
135,OR317_0146c.tif,15.9905,9.9225,10.8388,12.2266,14.3536,,,,,,,,,,,,,,,,,,,,,4
136,OR317_0099a.tif,37.1634,8.8363,9.4766,10.5841,11.8632,13.9569,15.4282,17.7984,20.2722,23.1261,26.0508,29.5449,33.7119,,,,,,,,,,,,,12
137,OR317_0191d.tif,29.522,11.0394,12.3263,13.7994,16.1579,19.4316,21.5261,23.5518,26.6199,,,,,,,,,,,,,,,,,8
138,OR317_0148a.tif,15.9705,8.9495,9.9049,11.76,13.6814,,,,,,,,,,,,,,,,,,,,,4
139,OR317_0073a.tif,28.0203,13.4271,14.3359,15.6858,17.4291,19.8788,22.7162,26.7562,,,,,,,,,,,,,,,,,,7
140,OR317_0195b.tif,56.5495,9.8503,11.4151,13.1081,15.3636,18.528,22.4069,27.9898,35.2658,44.2384,52.1356,,,,,,,,,,,,,,,10
141,OR317_0121d.tif,16.0564,10.4278,11.3069,12.7315,14.2486,,,,,,,,,,,,,,,,,,,,,4
142,OR317_0213b.tif,26.0202,9.805,11.1861,12.4402,14.5981,17.8831,22.3311,,,,,,,,,,,,,,,,,,,6
143,OR317_0076c.tif,44.3776,10.0931,10.9435,12.6389,14.6249,16.6724,18.7338,21.408,25.4139,30.6646,36.8972,,,,,,,,,,,,,,,10
